iter	Passed	Remaining
487	9812358	703755
488	9830771	683530
489	9849237	663316
490	9871186	643335
491	9894519	623435
492	9916321	603427
493	9937155	583355
494	9957981	563279
495	9979367	543231
496	10002575	523273
497	10025963	503311
498	10046960	483220
499	10068327	463143
500	10091842	443154
501	10114139	423101
502	10135110	402986
503	10158442	382957
504	10179425	362831
505	10201061	342723
506	10224430	322664
507	10246470	302553
508	10264662	282328
509	10285895	262189
510	10309313	242097
511	10328985	221911
512	10352211	201797
513	10374397	181652
514	10395615	161485
515	10417205	141318
516	10435386	121107
517	10457529	100941
518	10476219	80741
519	10499464	60573
520	10520463	40385
521	10539916	20191
522	10562098	0
